PS1,PS2,PS3,PS4,PS5,PS6,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,VS1,CE,CP,SE,Hydraulic_accumulator
160.67,109.47,1.99,0.0,9.84,9.73,2538.93,6.71,10.3,35.62,40.98,38.47,31.75,0.58,39.6,1.86,59.16,130.0
160.6,109.35,1.98,0.0,9.64,9.53,2531.5,6.72,10.4,36.68,41.53,38.98,34.49,0.57,25.79,1.26,59.34,130.0
160.35,109.16,1.97,0.0,9.53,9.43,2519.93,6.72,10.37,37.88,42.44,39.63,35.65,0.58,22.22,1.11,59.54,130.0
160.19,109.06,1.95,0.0,9.44,9.34,2511.54,6.72,10.3,38.88,43.4,40.4,36.58,0.57,20.46,1.06,59.79,130.0
160.0,108.93,1.92,0.0,9.36,9.26,2503.45,6.69,10.24,39.8,44.33,41.31,37.43,0.58,19.79,1.07,59.46,130.0
159.92,108.89,1.91,0.0,9.3,9.21,2501.01,6.7,10.18,40.66,45.17,42.12,38.21,0.57,19.15,1.07,59.56,130.0
159.67,108.68,1.89,0.0,9.23,9.14,2494.42,6.7,10.14,41.46,45.95,42.89,38.93,0.57,18.67,1.08,59.79,130.0
159.61,108.65,1.87,0.0,9.19,9.11,2489.42,6.68,10.1,42.22,46.67,43.52,39.56,0.57,18.18,1.08,59.59,130.0
159.48,108.53,1.86,0.0,9.14,9.06,2484.42,6.67,10.04,42.89,47.34,44.2,40.08,0.57,18.33,1.12,59.61,130.0
159.44,108.51,1.84,0.0,9.1,9.02,2480.43,6.66,10.0,43.53,47.98,44.8,40.61,0.57,18.21,1.13,59.47,130.0
159.32,108.44,1.83,0.0,9.07,8.98,2478.79,6.66,9.96,44.11,48.59,45.37,41.1,0.57,18.11,1.15,59.58,130.0
159.24,108.32,1.83,0.0,9.02,8.94,2472.27,6.66,9.93,44.64,49.11,45.92,41.57,0.58,18.07,1.16,59.76,130.0
159.14,108.24,1.82,0.0,8.98,8.9,2467.23,6.66,9.91,45.16,49.6,46.39,42.04,0.58,17.74,1.16,59.74,130.0
