S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,Ethylene_ppm,Methane_ppm
3308.21,1720.05,4240.68,4548.55,1233.41,1423.26,4351.79,4625.44,4341.74,3435.38,4269.79,3354.2,1084.25,1171.52,4248.61,3297.26,13.33,0.0
2468.8,1596.83,1179.24,1296.82,579.06,853.4,1227.66,1298.89,3500.33,2809.61,1189.22,945.24,543.11,540.58,1233.61,921.5,6.67,0.0
2692.12,1654.91,3918.4,4336.72,2956.29,3717.96,3707.86,4141.69,3737.9,2968.04,3199.56,2809.87,2655.26,2877.53,3079.3,2499.49,6.67,100.0
2419.4,1767.86,1138.71,1264.92,616.17,859.34,1182.7,1257.9,3408.41,2730.51,1107.09,909.48,593.29,581.43,1181.48,901.54,0.0,0.0
2621.46,1607.13,2358.94,2551.84,917.04,1158.53,2687.92,2849.52,3600.44,2880.5,2342.31,1902.13,846.69,871.64,2622.76,2020.66,8.33,0.0
2551.84,1744.92,2536.98,2764.63,1056.33,1275.26,2654.47,2814.42,3598.03,2881.58,2512.47,2003.75,968.49,999.52,2535.45,1983.62,6.67,0.0
2676.41,1604.5,2818.16,3156.04,2458.43,3129.61,2603.59,2989.98,3667.0,2923.31,2088.78,1935.89,2234.17,2377.86,2040.45,1686.83,0.0,73.33
2594.04,1725.64,2879.15,3137.19,1111.31,1296.4,2980.65,3186.81,3632.43,2912.99,2802.4,2253.93,1018.26,1076.26,2850.6,2200.64,8.33,0.0
2464.75,1722.51,1709.77,1899.83,1062.1,1324.51,1520.29,1665.08,3466.01,2752.97,1419.01,1219.05,966.14,1014.11,1360.95,1062.1,0.0,0.0
2401.85,1643.2,3771.15,4242.33,3801.47,5074.71,3449.2,4038.29,3442.73,2766.22,2330.91,2491.36,3443.91,3771.77,2334.38,2080.46,0.0,243.33
2182.02,1903.52,2381.85,2715.76,2543.38,3414.26,2535.96,2947.28,3163.08,2532.38,1597.27,1751.65,2345.78,2466.27,1872.46,1608.0,0.0,133.33
2986.41,1727.21,4177.59,4483.39,1183.11,1377.57,4324.68,4583.78,3982.7,3200.41,4252.57,3335.07,1042.42,1127.01,4198.23,3258.24,0.0,0.0
2591.45,1674.17,4013.96,4429.31,2922.77,3668.22,3674.3,4100.48,3683.74,2912.17,3120.92,2817.36,2552.35,2783.75,2979.82,2447.58,6.67,0.0
2805.87,1677.94,4594.52,4998.54,3117.27,3868.76,4415.43,4872.19,3944.3,3109.72,3849.07,3330.15,2790.14,3069.28,3772.39,3040.99,11.67,106.67
2434.73,1694.39,3025.78,3393.79,2808.54,3601.04,2748.74,3195.31,3510.72,2789.87,2056.75,2049.66,2532.38,2722.34,2004.45,1738.18,0.0,106.67
3118.11,1617.22,3910.21,4200.53,1155.29,1351.92,3974.43,4207.42,4161.9,3320.33,3980.16,3137.47,1035.47,1101.88,3888.51,3001.52,13.33,0.0
2439.77,1602.96,1184.94,1295.57,594.56,867.99,1299.93,1383.47,3461.58,2774.98,1181.48,951.68,563.96,553.8,1298.48,999.71,6.67,0.0
2385.35,1738.86,976.33,1077.66,520.19,773.09,1052.15,1108.3,3354.78,2702.09,976.13,793.72,488.4,469.1,1059.31,800.17,16.67,0.0
2540.57,1720.49,1219.25,1339.98,562.51,810.43,1260.38,1323.05,3433.33,2756.15,1227.04,963.4,534.26,519.47,1287.69,962.62,0.0,0.0
2988.06,1607.56,4237.05,4525.17,1271.33,1471.89,4373.61,4601.45,4027.72,3224.85,4293.03,3335.94,1148.21,1215.77,4205.12,3309.07,0.0,0.0
2240.75,1819.25,2554.66,2880.77,2418.14,3099.93,2404.35,2758.53,3260.24,2585.26,1777.56,1802.45,2170.43,2303.26,1799.5,1543.01,0.0,83.33
3002.07,1606.25,3218.3,3472.21,1156.1,1351.08,3357.97,3556.03,3966.49,3139.15,3240.81,2533.15,1052.35,1122.78,3260.24,2515.02,10.0,0.0
2366.9,1889.47,3934.18,4186.76,1187.79,1363.26,4287.04,4538.23,3405.19,2720.76,3924.08,3168.16,1070.47,1128.62,4072.7,3193.33,16.67,0.0
2564.67,1715.13,4150.81,4579.97,3249.09,4068.83,4017.48,4522.42,3641.51,2876.45,3222.86,2967.77,2883.74,3217.74,3297.55,2693.95,10.0,136.67
2632.1,1744.02,3418.66,3755.12,2521.14,3205.24,3577.6,3981.11,3661.83,2943.73,2979.0,2580.63,2276.46,2438.76,3084.59,2476.9,8.33,93.33
2923.58,1749.86,3472.21,3686.49,1056.33,1255.63,3608.88,3817.61,3897.31,3098.54,3486.99,2750.86,950.7,1020.63,3505.97,2701.83,11.67,0.0
2467.28,1677.94,2203.31,2355.96,819.57,1060.51,2468.04,2603.08,3509.83,2804.53,2209.86,1794.29,735.07,765.35,2409.36,1872.23,6.67,0.0
2287.26,1779.37,3835.97,4271.45,3880.04,5024.21,3430.39,4016.52,3225.13,2528.8,2433.47,2546.71,3446.85,3825.38,2330.17,2080.7,0.0,240.0
2324.97,1746.94,2418.64,2722.6,2196.53,2809.87,2272.78,2625.87,3365.53,2665.69,1689.72,1681.94,1997.66,2117.63,1734.82,1459.48,0.0,66.67
2577.02,1605.37,2651.09,2951.92,2424.92,3113.91,2457.17,2849.52,3551.25,2828.33,1823.34,1806.53,2208.64,2354.96,1847.28,1569.53,0.0,73.33
2402.6,1672.84,1443.68,1613.71,624.43,867.41,1497.22,1587.86,3469.25,2809.61,1510.14,1168.27,571.41,573.05,1493.56,1121.37,0.0,0.0
2678.76,1699.96,4335.38,4778.82,3408.41,4309.0,4084.96,4609.44,3754.81,2958.2,3398.17,3060.95,3052.62,3380.37,3338.83,2729.46,8.33,146.67
2635.48,1682.16,3887.57,4292.69,3037.11,3864.38,3679.17,4123.81,3707.86,2930.38,3064.28,2746.89,2704.45,2972.7,3022.74,2478.17,6.67,113.33
2717.6,1690.16,4464.98,4894.18,3537.51,4535.48,4195.93,4726.04,3816.68,3035.18,3476.34,3102.73,3189.93,3528.87,3389.12,2784.55,8.33,163.33
2870.52,1615.24,3554.84,3887.26,2591.97,3265.68,3402.85,3773.93,3832.54,3029.37,2880.5,2529.06,2356.21,2531.1,2872.68,2323.74,6.67,73.33
2206.46,1848.42,1211.88,1365.57,798.84,1034.28,1175.18,1268.23,3145.06,2528.29,1079.45,919.56,737.32,741.26,1083.25,848.42,0.0,0.0
2780.56,1762.45,4475.2,4794.12,1257.08,1468.68,4676.09,4952.91,3813.88,3029.37,4551.66,3586.01,1125.4,1190.85,4503.91,3486.7,20.0,0.0
2595.07,1762.0,4033.81,4436.43,3378.92,4305.67,3834.72,4338.72,3635.15,2884.55,3089.61,2850.06,2990.25,3298.99,3055.12,2540.82,6.67,166.67
2295.62,1908.36,1606.25,1757.95,606.45,821.09,1637.47,1704.64,3222.86,2598.68,1679.05,1330.36,572.14,575.42,1646.51,1245.13,0.0,0.0
2842.54,1616.12,3205.8,3443.61,1135.07,1344.17,3335.07,3536.32,3948.1,3129.89,3206.09,2535.19,1031.11,1098.47,3239.67,2498.22,10.0,0.0
